"income","sex","marital status","age","education","occupation","years in bay area","dual incomes","number in household","number of children","householder status","type of home","ethnic classification","language in home"
"$40,000+","male","married","35+","no college graduate","retired","10+","no","1","0","own","house","white","english"
"$40,000+","male","single","35+","no college graduate","professional/managerial","10+","not married","1","0","rent","house","american indian","english"
"$40,000+","female","married","35+","college graduate","professional/managerial","1-9","yes","2+","1+","own","house","white","english"
"$0-$40,000","male","married","35+","college graduate","sales","10+","yes","1","1+","rent","house","white","english"
"$40,000+","male","single","14-34","college graduate","sales","10+","not married","1","0","rent","condominium","white","english"
"$40,000+","female","married","14-34","no college graduate","homemaker","10+","no","1","1+","own","condominium","white","english"
"$0-$40,000","female","single","14-34","no college graduate","student","1-9","not married","2+","0","live with parents/family","house","white","english"
"$0-$40,000","male","widowed","35+","no college graduate","military","1-9","not married","1","0","own","house","white","english"
"$40,000+","female","married","35+","no college graduate","homemaker","10+","no","1","0","own","house","white","english"
"$0-$40,000","male","cohabitation","14-34","no college graduate","laborer","1-9","yes","1","0","rent","house","white","english"
"$40,000+","male","married","35+","college graduate","professional/managerial","10+","yes","2+","1+","own","house","white","english"
"$40,000+","female","married","35+","college graduate","professional/managerial","10+","yes","2+","1+","own","house","white","english"
"$0-$40,000","male","single","14-34","no college graduate","student","1-9","not married","2+","0","own","house","white","english"
"$40,000+","male","married","35+","no college graduate","retired","10+","no","1","0","own","house","white","english"
"$0-$40,000","female","single","14-34","college graduate","professional/managerial","1-9","not married","1","0","rent","house","white","english"
"$40,000+","male","single","14-34","college graduate","professional/managerial","10+","not married","1","0","own","house","white","english"
"$40,000+","female","single","35+","college graduate","professional/managerial","10+","not married","1","0","own","condominium","white","english"
"$40,000+","female","married","35+","college graduate","retired","10+","not married","1","0","own","house","white","english"
"$0-$40,000","female","widowed","35+","no college graduate","retired","10+","not married","1","0","rent","apartment","white","english"
"$40,000+","female","married","14-34","college graduate","professional/managerial","10+","yes","1","1+","own","house","white","english"
"$0-$40,000","male","single","14-34","no college graduate","military","1-9","not married","1","0","rent","apartment","white","english"
"$40,000+","female","married","14-34","no college graduate","professional/managerial","1-9","yes","1","0","own","house","white","english"
"$40,000+","female","married","35+","no college graduate","homemaker","10+","no","2+","1+","own","house","white","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","professional/managerial","1-9","not married","1","0","rent","house","white","english"
"$0-$40,000","female","divorced","35+","no college graduate","sales","1-9","not married","1","1+","rent","apartment","white","english"
"$0-$40,000","female","single","14-34","no college graduate","student","10+","not married","2+","0","live with parents/family","house","white","english"
"$40,000+","male","married","35+","college graduate","professional/managerial","10+","yes","1","0","rent","condominium","white","english"
"$0-$40,000","male","married","35+","college graduate","professional/managerial","10+","yes","2+","1+","own","house","white","english"
"$40,000+","female","cohabitation","14-34","college graduate","professional/managerial","1-9","yes","1","0","rent","condominium","white","english"
"$0-$40,000","female","married","35+","no college graduate","professional/managerial","10+","yes","2+","1+","own","house","white","english"
"$40,000+","female","widowed","35+","no college graduate","homemaker","10+","not married","1","0","own","other","white","english"
"$40,000+","female","cohabitation","14-34","college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$40,000+","female","married","35+","college graduate","professional/managerial","10+","yes","1","1+","own","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","professional/managerial","10+","not married","1","0","rent","house","white","english"
"$0-$40,000","female","widowed","35+","no college graduate","retired","10+","not married","1","0","own","house","white","english"
"$40,000+","female","married","35+","college graduate","professional/managerial","10+","yes","1","0","own","house","white","english"
"$40,000+","male","married","35+","no college graduate","professional/managerial","10+","no","1","0","own","house","white","english"
"$0-$40,000","female","single","14-34","college graduate","student","10+","not married","2+","0","live with parents/family","house","white","english"
"$0-$40,000","female","single","14-34","no college graduate","professional/managerial","10+","not married","1","0","live with parents/family","house","white","english"
"$0-$40,000","male","married","35+","college graduate","military","1-9","no","2+","1+","rent","house","white","english"
